2025-07-15 01:36:55,993 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:56,177 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/ibm/icu/icu4j/76.1/icu4j-76.1.jar HTTP/1.1" 200 14621879
2025-07-15 01:36:56,417 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/microsoft/azure/msal4j/1.17.2/msal4j-1.17.2.jar HTTP/1.1" 200 366717
2025-07-15 01:36:56,583 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:56,886 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/mojang/blocklist/1.0.10/blocklist-1.0.10.jar HTTP/1.1" 200 964
2025-07-15 01:36:56,892 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:57,118 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:57,153 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:57,384 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/mojang/brigadier/1.3.10/brigadier-1.3.10.jar HTTP/1.1" 200 80082
2025-07-15 01:36:57,489 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:57,653 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/mojang/jtracy/1.0.29/jtracy-1.0.29.jar HTTP/1.1" 200 10382
2025-07-15 01:36:57,737 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
